poi_id,lat,lon
36,25.16238941,121.397598
37,25.16248792,121.3974775
38,25.16265792,121.3973004
39,25.16283924,121.3970989
40,25.163003,121.3969084
41,25.1631691,121.3967161
42,25.16333514,121.3965241
43,25.16351143,121.3963233
44,25.16364718,121.3961349
45,25.1638217,121.3959318
46,25.16400968,121.3957378
47,25.16422033,121.3955232
48,25.16442428,121.3952876
49,25.16465477,121.3950213
50,25.1648884,121.3947521
51,25.16510738,121.3944976
52,25.16532039,121.3942502
53,25.16545441,121.3940759
54,25.16564427,121.3938743
55,25.16579986,121.3936834
56,25.16598618,121.3935225
57,25.16622824,121.3932737
58,25.16639053,121.3930537
59,25.16660767,121.3928124
60,25.16677673,121.3926163
61,25.16697057,121.3924115
62,25.16716369,121.3921862
63,25.16737383,121.3919494
64,25.16762018,121.3916631
65,25.16777628,121.3914581
66,25.1679835,121.3912135
67,25.16819629,121.3909924
